db,u,g,r,i,z,y
too_combined_s1_0_v3_4_stripped_10yrs_QSONumberCountsMetric,6168801.755525993,10416943.150305334,11995810.628310468,12383639.087954964,11961173.875046406,9654997.075958997
weather_cloudso31v3_4_10yrs_QSONumberCountsMetric,6162392.291311464,10457285.973992169,12036881.418662755,12434922.835161101,11981905.453964315,9661258.592159873
ddf_acor_sf15_lsf40_lsr50_v3_4_10yrs_QSONumberCountsMetric,6185855.056205523,10466579.250519162,12034378.382951878,12429143.610225447,12002860.725458693,9662671.854706332
too_elab_r16_d2_ugrizy_v3_4_10yrs_QSONumberCountsMetric,6217217.401080747,10463835.292632107,12039268.991457306,12442514.413189828,12017160.943778716,9687030.802988788
ddf_acor_sf15_lsf20_lsr20_v3_4_10yrs_QSONumberCountsMetric,6191423.725114974,10476713.1644229,12038760.070407944,12428222.291875534,11999640.615138486,9663733.142534256
too_elab_r8_d3_gz_v3_4_10yrs_QSONumberCountsMetric,6178651.6870959215,10470270.997436587,12032632.6522711,12436771.44318866,12006060.093613885,9673981.34322475
ddf_acor_sf20_lsf30_lsr50_v3_4_10yrs_QSONumberCountsMetric,6188964.408268437,10467010.44428274,12035872.49448676,12430006.884114187,11998860.95067579,9665833.077240255
ddf_acor_sf30_lsf40_lsr10_v3_4_10yrs_QSONumberCountsMetric,6181659.061363547,10459815.935545959,12027211.007844664,12424353.813020043,12008656.244002247,9668451.223327985
ddf_loaded_half_fl15_v3_4_10yrs_QSONumberCountsMetric,6173746.5033558495,10466829.504249714,12031392.622141782,12438040.176991256,12003722.011764847,9665851.982394729
ddf_acor_sf20_lsf0_lsr0_v3_4_10yrs_QSONumberCountsMetric,6176632.523679309,10465436.866607577,12032083.862533625,12434687.335327186,11992286.043221142,9662477.707972297
too_elab_r32_d3_griz_v3_4_10yrs_QSONumberCountsMetric,6167535.9403840145,10448587.455609292,12035042.165401448,12432136.054955553,11997444.600681834,9652619.895402724
too_elab_r32_d3_ugrizy_v3_4_10yrs_QSONumberCountsMetric,6215937.381883215,10455553.857970485,12036948.082166664,12431918.599297952,11991800.375127632,9729253.763783844
too_elab_heavy_r32_d2_griz_v3_4_10yrs_QSONumberCountsMetric,6173612.375329398,10444773.848920312,12032450.547590347,12431395.049230315,11999913.287097188,9658229.002566047
too_elab_heavy_r32_d3_griz_v3_4_10yrs_QSONumberCountsMetric,6175796.517156921,10440467.770209216,12030008.6276854,12426163.282117113,11994824.477329142,9650609.959488507
too_ignore_10_4v3_4_10yrs_QSONumberCountsMetric,6185981.123986952,10463295.376141757,12033016.677827192,12443065.792835023,12022655.080009775,9672629.780658396
ddf_acor_sf15_lsf20_lsr10_v3_4_10yrs_QSONumberCountsMetric,6168821.070557099,10467607.874229763,12034117.365832029,12437620.788551357,11994742.285314616,9663756.075571036
